URL,Model,Field,Runs,Most common,Consistency ratio,Benchmark,fail_count,inapplicable_count,field_accuracy,is_consistent
uh.edu,gpt-5,Search Field (1),10,inapplicable,1,inapplicable,0,10,1.0,True
uh.edu,gpt-5,Search Field (2),10,inapplicable,1,inapplicable,0,10,1.0,True
uh.edu,gpt-5,First Name*,10,fail,1,fail,10,0,1.0,True
uh.edu,gpt-5,Last Name*,10,fail,1,fail,10,0,1.0,True
uh.edu,gpt-5,Month,10,fail,1,fail,10,0,1.0,True
uh.edu,gpt-5,Day,10,fail,1,fail,10,0,1.0,True
uh.edu,gpt-5,Year,10,fail,1,fail,10,0,1.0,True
uh.edu,gpt-5,Email Address*,10,fail,1,fail,10,0,1.0,True
uh.edu,gpt-5,Mobile Phone Number*,10,fail,1,fail,10,0,1.0,True
uh.edu,gpt-5,You plan to enroll as a:*,10,fail,1,fail,10,0,1.0,True
uh.edu,gpt-5,When would you like to start classes at UH?*,10,fail,1,fail,10,0,1.0,True
